image,text,confidence,bbox,price_cny,price_usd,shipping_price,bid_times
微信图片_20251017223412_5_1274.jpg,众孚Ftc#,0.9897,"[[np.int32(61), np.int32(1549)], [np.int32(287), np.int32(1549)], [np.int32(287), np.int32(1613)], [np.int32(61), np.int32(1613)]]",,,,
微信图片_20251017223412_5_1274.jpg,"半10,750.00",0.9761,"[[np.int32(50), np.int32(1636)], [np.int32(449), np.int32(1636)], [np.int32(449), np.int32(1721)], [np.int32(50), np.int32(1721)]]",10750.0,,,
微信图片_20251017223412_5_1274.jpg,"$1,472.75",0.5082,"[[np.int32(54), np.int32(1720)], [np.int32(298), np.int32(1720)], [np.int32(298), np.int32(1772)], [np.int32(54), np.int32(1772)]]",,1472.75,,
微信图片_20251017223412_5_1274.jpg,念38  次竞价,0.1011,"[[np.int32(58), np.int32(1786)], [np.int32(284), np.int32(1786)], [np.int32(284), np.int32(1840)], [np.int32(58), np.int32(1840)]]",,,,38.0
微信图片_20251017223412_5_1274.jpg,运费: 半18.00@,0.4974,"[[np.int32(78), np.int32(1880)], [np.int32(358), np.int32(1880)], [np.int32(358), np.int32(1928)], [np.int32(78), np.int32(1928)]]",,,18.0,
微信图片_20251017223412_5_1274.jpg,商品属性,0.9905,"[[np.int32(56), np.int32(2010)], [np.int32(232), np.int32(2010)], [np.int32(232), np.int32(2066)], [np.int32(56), np.int32(2066)]]",,,,
微信图片_20251017223412_5_1274.jpg,商品编号,0.996,"[[np.int32(56), np.int32(2108)], [np.int32(220), np.int32(2108)], [np.int32(220), np.int32(2162)], [np.int32(56), np.int32(2162)]]",,,,
微信图片_20251017223412_5_1274.jpg,241217150529092,0.9238,"[[np.int32(355), np.int32(2111)], [np.int32(689), np.int32(2111)], [np.int32(689), np.int32(2155)], [np.int32(355), np.int32(2155)]]",,,,
微信图片_20251017223412_5_1274.jpg,怂,0.0003,"[[np.int32(88), np.int32(2282)], [np.int32(183), np.int32(2282)], [np.int32(183), np.int32(2333)], [np.int32(88), np.int32(2333)]]",,,,
微信图片_20251017223412_5_1274.jpg,上海众孚藏品交易,0.9461,"[[np.int32(239), np.int32(2267)], [np.int32(627), np.int32(2267)], [np.int32(627), np.int32(2331)], [np.int32(239), np.int32(2331)]]",,,,
微信图片_20251017223412_5_1274.jpg,[*品,0.0044,"[[np.int32(82), np.int32(2320)], [np.int32(184), np.int32(2320)], [np.int32(184), np.int32(2380)], [np.int32(82), np.int32(2380)]]",,,,
微信图片_20251017223412_5_1274.jpg,企业商户,0.9635,"[[np.int32(251), np.int32(2347)], [np.int32(377), np.int32(2347)], [np.int32(377), np.int32(2389)], [np.int32(251), np.int32(2389)]]",,,,
微信图片_20251017223412_5_1274.jpg,/,0.042,"[[np.int32(904), np.int32(2288)], [np.int32(992), np.int32(2288)], [np.int32(992), np.int32(2368)], [np.int32(904), np.int32(2368)]]",,,,
微信图片_20251017223412_5_1274.jpg,好评率,0.7096,"[[np.int32(181), np.int32(2465)], [np.int32(289), np.int32(2465)], [np.int32(289), np.int32(2507)], [np.int32(181), np.int32(2507)]]",,,,
微信图片_20251017223412_5_1274.jpg,好评数,0.978,"[[np.int32(533), np.int32(2465)], [np.int32(643), np.int32(2465)], [np.int32(643), np.int32(2507)], [np.int32(533), np.int32(2507)]]",,,,
微信图片_20251017223412_5_1274.jpg,差评数,0.9746,"[[np.int32(889), np.int32(2465)], [np.int32(997), np.int32(2465)], [np.int32(997), np.int32(2507)], [np.int32(889), np.int32(2507)]]",,,,
微信图片_20251017223412_5_1274.jpg,99.929,0.5923,"[[np.int32(154), np.int32(2514)], [np.int32(318), np.int32(2514)], [np.int32(318), 2556], [np.int32(154), 2556]]",,,,
微信图片_20251017223412_5_1274.jpg,5275,0.7458,"[[np.int32(526), np.int32(2526)], [np.int32(631), np.int32(2526)], [np.int32(631), 2556], [np.int32(526), 2556]]",,,,
微信图片_20251017223412_5_1274.jpg,27,0.9997,"[[np.int32(913), np.int32(2517)], [np.int32(969), np.int32(2517)], [np.int32(969), 2556], [np.int32(913), 2556]]",,,,
微信图片_20251017223412_5_1274.jpg,盏,0.0007,"[[np.float64(761.5368693591791), np.float64(933.0359638987467)], [np.float64(784.3631631259332), np.float64(924.0220623673484)], [np.float64(815.4631306408209), np.float64(1002.9640361012533)], [np.float64(792.6368368740668), np.float64(1011.9779376326516)]]",,,,
微信图片_20251017223412_5_1274.jpg,Confidence: 0.0000,0.0,"[[np.float64(751.4421259126165), np.float64(971.0390939795767)], [np.float64(781.4060547520536), np.float64(958.020663429875)], [np.float64(819.5578740873835), np.float64(1049.9609060204234)], [np.float64(789.5939452479464), np.float64(1063.979336570125)]]",,,,
微信图片_20251017223412_5_1274.jpg,',0.0342,"[[np.float64(759.2572186472918), np.float64(1024.1430466182294)], [np.float64(773.4632410546121), np.float64(1016.0543875706293)], [np.float64(796.7427813527082), np.float64(1052.8569533817706)], [np.float64(782.5367589453879), np.float64(1061.9456124293708)]]",,,,
微信图片_20251017223412_5_1274.jpg,商品已售出,0.6204,"[[np.float64(911.3516449153894), np.float64(1669.0351332215832)], [np.float64(1099.997102693253), np.float64(1723.813561574303)], [np.float64(1083.6483550846106), np.float64(1772.9648667784168)], [np.float64(895.002897306747), np.float64(1718.186438425697)]]",,,,
微信图片_20251017223413_6_1274.jpg,商品,0.9727,"[[np.int32(537), np.int32(199)], [np.int32(641), np.int32(199)], [np.int32(641), np.int32(259)], [np.int32(537), np.int32(259)]]",,,,
微信图片_20251017223413_6_1274.jpg,3,0.0144,"[[np.int32(578), np.int32(314)], [np.int32(602), np.int32(314)], [np.int32(602), np.int32(382)], [np.int32(578), np.int32(382)]]",,,,
微信图片_20251017223413_6_1274.jpg,S4,0.0011,"[[np.int32(565), np.int32(451)], [np.int32(619), np.int32(451)], [np.int32(619), np.int32(465)], [np.int32(565), np.int32(465)]]",,,,
微信图片_20251017223413_6_1274.jpg,STEPHENCURR,0.9678,"[[np.int32(474), np.int32(784)], [np.int32(692), np.int32(784)], [np.int32(692), np.int32(816)], [np.int32(474), np.int32(816)]]",,,,
微信图片_20251017223413_6_1274.jpg,尺,0.3518,"[[np.int32(481), np.int32(953)], [np.int32(507), np.int32(953)], [np.int32(507), np.int32(973)], [np.int32(481), np.int32(973)]]",,,,
微信图片_20251017223413_6_1274.jpg,4  N,0.3749,"[[np.int32(521), np.int32(953)], [np.int32(577), np.int32(953)], [np.int32(577), np.int32(973)], [np.int32(521), np.int32(973)]]",,,,
微信图片_20251017223413_6_1274.jpg,C,0.9321,"[[np.int32(585), np.int32(951)], [np.int32(609), np.int32(951)], [np.int32(609), np.int32(971)], [np.int32(585), np.int32(971)]]",,,,
微信图片_20251017223413_6_1274.jpg,H | 5,0.1181,"[[np.int32(618), np.int32(950)], [np.int32(706), np.int32(950)], [np.int32(706), np.int32(974)], [np.int32(618), np.int32(974)]]",,,,
微信图片_20251017223413_6_1274.jpg,E,0.5169,"[[np.int32(713), np.int32(953)], [np.int32(735), np.int32(953)], [np.int32(735), np.int32(973)], [np.int32(713), np.int32(973)]]",,,,
微信图片_20251017223413_6_1274.jpg,恻@R,0.0022,"[[np.int32(409), np.int32(965)], [np.int32(785), np.int32(965)], [np.int32(785), np.int32(1053)], [np.int32(409), np.int32(1053)]]",,,,
微信图片_20251017223413_6_1274.jpg,WARRIORS,0.5125,"[[np.int32(539), np.int32(1047)], [np.int32(647), np.int32(1047)], [np.int32(647), np.int32(1063)], [np.int32(539), np.int32(1063)]]",,,,
微信图片_20251017223413_6_1274.jpg,结束时间:2025-04-06  21:51:00,0.5853,"[[np.int32(54), np.int32(1258)], [np.int32(638), np.int32(1258)], [np.int32(638), np.int32(1312)], [np.int32(54), np.int32(1312)]]",,,,
微信图片_20251017223413_6_1274.jpg,2023-24 Panini Prizm Stephen Curry 金,0.4901,"[[np.int32(55), np.int32(1340)], [np.int32(1071), np.int32(1340)], [np.int32(1071), np.int32(1408)], [np.int32(55), np.int32(1408)]]",,,,
微信图片_20251017223413_6_1274.jpg,州勇士斯蒂芬 库里  银折  折射  箱A Hit FF签,0.5815,"[[np.int32(54), np.int32(1402)], [np.int32(1116), np.int32(1402)], [np.int32(1116), np.int32(1476)], [np.int32(54), np.int32(1476)]]",,,,
微信图片_20251017223413_6_1274.jpg,Franchise Favorites 签字  签名墨迹好 交换,0.5379,"[[np.int32(54), np.int32(1472)], [np.int32(1112), np.int32(1472)], [np.int32(1112), np.int32(1546)], [np.int32(54), np.int32(1546)]]",,,,
微信图片_20251017223413_6_1274.jpg,原封砖,0.9974,"[[np.int32(57), np.int32(1545)], [np.int32(227), np.int32(1545)], [np.int32(227), np.int32(1613)], [np.int32(57), np.int32(1613)]]",,,,
微信图片_20251017223413_6_1274.jpg,"半4,809.00",0.9804,"[[np.int32(50), np.int32(1636)], [np.int32(409), np.int32(1636)], [np.int32(409), np.int32(1721)], [np.int32(50), np.int32(1721)]]",4809.0,,,
微信图片_20251017223413_6_1274.jpg,二 $659.79,0.3617,"[[np.int32(57), np.int32(1723)], [np.int32(261), np.int32(1723)], [np.int32(261), np.int32(1767)], [np.int32(57), np.int32(1767)]]",,659.79,,
微信图片_20251017223413_6_1274.jpg,念41  次竞价,0.0863,"[[np.int32(58), np.int32(1786)], [np.int32(276), np.int32(1786)], [np.int32(276), np.int32(1838)], [np.int32(58), np.int32(1838)]]",,,,41.0
微信图片_20251017223413_6_1274.jpg,运费: 半18.00,0.6633,"[[np.int32(78), np.int32(1880)], [np.int32(320), np.int32(1880)], [np.int32(320), np.int32(1928)], [np.int32(78), np.int32(1928)]]",,,18.0,
微信图片_20251017223413_6_1274.jpg,商品属性,0.9905,"[[np.int32(56), np.int32(2010)], [np.int32(232), np.int32(2010)], [np.int32(232), np.int32(2066)], [np.int32(56), np.int32(2066)]]",,,,
微信图片_20251017223413_6_1274.jpg,商品编号,0.9955,"[[np.int32(56), np.int32(2108)], [np.int32(220), np.int32(2108)], [np.int32(220), np.int32(2160)], [np.int32(56), np.int32(2160)]]",,,,
微信图片_20251017223413_6_1274.jpg,250402114209165,0.9939,"[[np.int32(355), np.int32(2111)], [np.int32(691), np.int32(2111)], [np.int32(691), np.int32(2155)], [np.int32(355), np.int32(2155)]]",,,,
微信图片_20251017223413_6_1274.jpg,thatsamarel,0.5262,"[[np.int32(234), np.int32(2274)], [np.int32(522), np.int32(2274)], [np.int32(522), np.int32(2324)], [np.int32(234), np.int32(2324)]]",,,,
微信图片_20251017223413_6_1274.jpg,/,0.05,"[[np.int32(902), np.int32(2290)], [np.int32(992), np.int32(2290)], [np.int32(992), np.int32(2366)], [np.int32(902), np.int32(2366)]]",,,,
微信图片_20251017223413_6_1274.jpg,人商户,0.9786,"[[np.int32(281), np.int32(2349)], [np.int32(377), np.int32(2349)], [np.int32(377), np.int32(2389)], [np.int32(281), np.int32(2389)]]",,,,
微信图片_20251017223413_6_1274.jpg,好评率,0.9113,"[[np.int32(180), np.int32(2464)], [np.int32(288), np.int32(2464)], [np.int32(288), np.int32(2506)], [np.int32(180), np.int32(2506)]]",,,,
微信图片_20251017223413_6_1274.jpg,好评数,0.9777,"[[np.int32(533), np.int32(2465)], [np.int32(643), np.int32(2465)], [np.int32(643), np.int32(2509)], [np.int32(533), np.int32(2509)]]",,,,
微信图片_20251017223413_6_1274.jpg,差评数,0.9786,"[[np.int32(889), np.int32(2465)], [np.int32(997), np.int32(2465)], [np.int32(997), np.int32(2509)], [np.int32(889), np.int32(2509)]]",,,,
微信图片_20251017223413_6_1274.jpg,99.76%,0.6343,"[[np.int32(154), np.int32(2514)], [np.int32(316), np.int32(2514)], [np.int32(316), 2556], [np.int32(154), 2556]]",,,,
微信图片_20251017223413_6_1274.jpg,79/00,0.2301,"[[np.int32(550), np.int32(2528)], [np.int32(640), np.int32(2528)], [np.int32(640), 2556], [np.int32(550), 2556]]",,,,
微信图片_20251017223413_6_1274.jpg,19,0.9999,"[[np.int32(915), np.int32(2517)], [np.int32(967), np.int32(2517)], [np.int32(967), 2556], [np.int32(915), 2556]]",,,,
微信图片_20251017223413_6_1274.jpg,商品已售出,0.6163,"[[np.float64(911.3516449153894), np.float64(1669.0351332215832)], [np.float64(1099.997102693253), np.float64(1723.813561574303)], [np.float64(1083.6483550846106), np.float64(1772.9648667784168)], [np.float64(895.002897306747), np.float64(1718.186438425697)]]",,,,
微信图片_20251017223414_7_1274.jpg,商品,0.9745,"[[np.int32(537), np.int32(199)], [np.int32(641), np.int32(199)], [np.int32(641), np.int32(259)], [np.int32(537), np.int32(259)]]",,,,
微信图片_20251017223414_7_1274.jpg,2024 PRIZM,0.6611,"[[np.int32(413), np.int32(375)], [np.int32(523), np.int32(375)], [np.int32(523), np.int32(395)], [np.int32(413), np.int32(395)]]",,,,
微信图片_20251017223414_7_1274.jpg,#PMXSCW,0.9905,"[[np.int32(657), np.int32(372)], [np.int32(760), np.int32(372)], [np.int32(760), np.int32(398)], [np.int32(657), np.int32(398)]]",,,,
微信图片_20251017223414_7_1274.jpg,STEPHEN CURRY,0.6062,"[[np.int32(413), np.int32(393)], [np.int32(567), np.int32(393)], [np.int32(567), np.int32(413)], [np.int32(413), np.int32(413)]]",,,,
微信图片_20251017223414_7_1274.jpg,NM-MT,0.8156,"[[np.int32(691), np.int32(395)], [np.int32(761), np.int32(395)], [np.int32(761), np.int32(415)], [np.int32(691), np.int32(415)]]",,,,
微信图片_20251017223414_7_1274.jpg,PRIZMATRIX SIGNATURE,0.6041,"[[np.int32(412), np.int32(412)], [np.int32(638), np.int32(412)], [np.int32(638), np.int32(436)], [np.int32(412), np.int32(436)]]",,,,
微信图片_20251017223414_7_1274.jpg,115058262,0.9995,"[[np.int32(662), np.int32(430)], [np.int32(762), np.int32(430)], [np.int32(762), np.int32(454)], [np.int32(662), np.int32(454)]]",,,,
微信图片_20251017223414_7_1274.jpg,@ @]5 M 回?尽]R,0.0002,"[[np.int32(424), np.int32(756)], [np.int32(750), np.int32(756)], [np.int32(750), np.int32(789)], [np.int32(424), np.int32(789)]]",,,,
微信图片_20251017223414_7_1274.jpg,BTEPIEI BURRY,0.2674,"[[np.int32(520), np.int32(980)], [np.int32(652), np.int32(980)], [np.int32(652), np.int32(1006)], [np.int32(520), np.int32(1006)]]",,,,
微信图片_20251017223414_7_1274.jpg,结束时间:2025-09-0421:22:00,0.7575,"[[np.int32(54), np.int32(1258)], [np.int32(646), np.int32(1258)], [np.int32(646), np.int32(1308)], [np.int32(54), np.int32(1308)]]",,,,
微信图片_20251017223414_7_1274.jpg,2024-25 Panini Prizm Stephen Curry 22,0.6354,"[[np.int32(55), np.int32(1340)], [np.int32(1083), np.int32(1340)], [np.int32(1083), np.int32(1408)], [np.int32(55), np.int32(1408)]]",,,,
微信图片_20251017223414_7_1274.jpg,(超级拍卖1,0.8008,"[[np.int32(81), np.int32(1404)], [np.int32(358), np.int32(1404)], [np.int32(358), np.int32(1472)], [np.int32(81), np.int32(1472)]]",,,,
微信图片_20251017223414_7_1274.jpg,PZ 斯蒂芬 库里小学生 三分之,0.5301,"[[np.int32(380), np.int32(1399)], [np.int32(1122), np.int32(1399)], [np.int32(1122), np.int32(1477)], [np.int32(380), np.int32(1477)]]",,,,
微信图片_20251017223414_7_1274.jpg,王勇士 折射  银折 Prizmatrix 签字 PSA8 评,0.3852,"[[np.int32(56), np.int32(1473)], [np.int32(1120), np.int32(1473)], [np.int32(1120), np.int32(1546)], [np.int32(56), np.int32(1546)]]",,,,
微信图片_20251017223414_7_1274.jpg,级卡 卡壳微痕,0.6124,"[[np.int32(54), np.int32(1542)], [np.int32(406), np.int32(1542)], [np.int32(406), np.int32(1614)], [np.int32(54), np.int32(1614)]]",,,,
微信图片_20251017223414_7_1274.jpg,"半4,088.45",0.7067,"[[np.int32(52), np.int32(1640)], [np.int32(408), np.int32(1640)], [np.int32(408), np.int32(1720)], [np.int32(52), np.int32(1720)]]",4088.45,,,
微信图片_20251017223414_7_1274.jpg,~ $583.83,0.4633,"[[np.int32(56), np.int32(1722)], [np.int32(262), np.int32(1722)], [np.int32(262), np.int32(1770)], [np.int32(56), np.int32(1770)]]",,583.83,,
微信图片_20251017223414_7_1274.jpg,冬36 次竞价,0.1376,"[[np.int32(58), np.int32(1786)], [np.int32(284), np.int32(1786)], [np.int32(284), np.int32(1838)], [np.int32(58), np.int32(1838)]]",,,,36.0
微信图片_20251017223414_7_1274.jpg,运费: 半15.00@,0.4816,"[[np.int32(78), np.int32(1880)], [np.int32(358), np.int32(1880)], [np.int32(358), np.int32(1928)], [np.int32(78), np.int32(1928)]]",,,15.0,
微信图片_20251017223414_7_1274.jpg,竞价记录 (36),0.9832,"[[np.int32(56), np.int32(2010)], [np.int32(326), np.int32(2010)], [np.int32(326), np.int32(2066)], [np.int32(56), np.int32(2066)]]",,,,
微信图片_20251017223414_7_1274.jpg,商品属性,0.9912,"[[np.int32(56), np.int32(2148)], [np.int32(234), np.int32(2148)], [np.int32(234), np.int32(2204)], [np.int32(56), np.int32(2204)]]",,,,
微信图片_20251017223414_7_1274.jpg,商品编号,0.9957,"[[np.int32(56), np.int32(2246)], [np.int32(220), np.int32(2246)], [np.int32(220), np.int32(2298)], [np.int32(56), np.int32(2298)]]",,,,
微信图片_20251017223414_7_1274.jpg,250828183659047,0.9996,"[[np.int32(354), np.int32(2248)], [np.int32(704), np.int32(2248)], [np.int32(704), np.int32(2292)], [np.int32(354), np.int32(2292)]]",,,,
微信图片_20251017223414_7_1274.jpg,体育类型,0.9785,"[[np.int32(56), np.int32(2320)], [np.int32(220), np.int32(2320)], [np.int32(220), np.int32(2374)], [np.int32(56), np.int32(2374)]]",,,,
微信图片_20251017223414_7_1274.jpg,Basketball,0.9781,"[[np.int32(357), np.int32(2325)], [np.int32(551), np.int32(2325)], [np.int32(551), np.int32(2367)], [np.int32(357), np.int32(2367)]]",,,,
微信图片_20251017223414_7_1274.jpg,年代,0.997,"[[np.int32(56), np.int32(2396)], [np.int32(144), np.int32(2396)], [np.int32(144), np.int32(2448)], [np.int32(56), np.int32(2448)]]",,,,
微信图片_20251017223414_7_1274.jpg,2024-25,0.7734,"[[np.int32(355), np.int32(2401)], [np.int32(527), np.int32(2401)], [np.int32(527), np.int32(2443)], [np.int32(355), np.int32(2443)]]",,,,
微信图片_20251017223414_7_1274.jpg,商品已售出,0.5569,"[[np.float64(912.3516449153894), np.float64(1669.0351332215832)], [np.float64(1099.997102693253), np.float64(1723.813561574303)], [np.float64(1082.6483550846106), np.float64(1772.9648667784168)], [np.float64(895.002897306747), np.float64(1718.186438425697)]]",,,,
微信图片_20251122072052_8_1274.jpg,11月4日周二,0.6052,"[[np.int32(76), np.int32(4)], [np.int32(172), np.int32(4)], [np.int32(172), np.int32(28)], [np.int32(76), np.int32(28)]]",,,,
微信图片_20251122072052_8_1274.jpg,799,0.9332,"[[np.int32(1455), np.int32(5)], [np.int32(1495), np.int32(5)], [np.int32(1495), np.int32(25)], [np.int32(1455), np.int32(25)]]",,,,
微信图片_20251122072052_8_1274.jpg,商品,0.9972,"[[np.int32(752), np.int32(142)], [np.int32(802), np.int32(142)], [np.int32(802), np.int32(172)], [np.int32(752), np.int32(172)]]",,,,
微信图片_20251122072052_8_1274.jpg,NW,0.0696,"[[np.int32(781), np.int32(425)], [np.int32(843), np.int32(425)], [np.int32(843), np.int32(461)], [np.int32(781), np.int32(461)]]",,,,
微信图片_20251122072052_8_1274.jpg,结束时间:2025-11-0320:26;50,0.7435,"[[np.int32(552), np.int32(590)], [np.int32(812), np.int32(590)], [np.int32(812), np.int32(614)], [np.int32(552), np.int32(614)]]",,,,
微信图片_20251122072052_8_1274.jpg,2019-20 Panini One and One Ja,0.4284,"[[np.int32(554), np.int32(626)], [np.int32(916), np.int32(626)], [np.int32(916), np.int32(654)], [np.int32(554), np.int32(654)]]",,,,
微信图片_20251122072052_8_1274.jpg,Morant RC,0.854,"[[np.int32(556), np.int32(656)], [np.int32(678), np.int32(656)], [np.int32(678), np.int32(684)], [np.int32(556), np.int32(684)]]",,,,
微信图片_20251122072052_8_1274.jpg,(禄卡) OAO 贾莫兰特  新秀,0.5893,"[[np.int32(694), np.int32(654)], [np.int32(1000), np.int32(654)], [np.int32(1000), np.int32(686)], [np.int32(694), np.int32(686)]]",,,,
微信图片_20251122072052_8_1274.jpg,双窗物料 '签字 卡签 RPA 紫平行 35编灰,0.404,"[[np.int32(553), np.int32(683)], [np.int32(993), np.int32(683)], [np.int32(993), np.int32(719)], [np.int32(553), np.int32(719)]]",,,,
微信图片_20251122072052_8_1274.jpg,熊10.17-人总-206,0.4438,"[[np.int32(554), np.int32(716)], [np.int32(756), np.int32(716)], [np.int32(756), np.int32(748)], [np.int32(554), np.int32(748)]]",,,,
微信图片_20251122072052_8_1274.jpg,"半6,201.00",0.8912,"[[np.int32(551), np.int32(757)], [np.int32(711), np.int32(757)], [np.int32(711), np.int32(795)], [np.int32(551), np.int32(795)]]",6201.0,,,
微信图片_20251122072052_8_1274.jpg,~ $887.36,0.5427,"[[np.int32(554), np.int32(792)], [np.int32(648), np.int32(792)], [np.int32(648), np.int32(816)], [np.int32(554), np.int32(816)]]",,887.36,,
微信图片_20251122072052_8_1274.jpg,冬44次竞价,0.0455,"[[np.int32(554), np.int32(820)], [np.int32(654), np.int32(820)], [np.int32(654), np.int32(846)], [np.int32(554), np.int32(846)]]",,,,44.0
微信图片_20251122072052_8_1274.jpg,运费: +17.000,0.2465,"[[np.int32(565), np.int32(863)], [np.int32(687), np.int32(863)], [np.int32(687), np.int32(883)], [np.int32(565), np.int32(883)]]",,,17.0,
微信图片_20251122072052_8_1274.jpg,需支付担保金 20 CHP,0.7222,"[[np.int32(554), np.int32(928)], [np.int32(730), np.int32(928)], [np.int32(730), np.int32(954)], [np.int32(554), np.int32(954)]]",,,,
微信图片_20251122072052_8_1274.jpg,好评数满 20 免担保金,0.6984,"[[np.int32(552), np.int32(952)], [np.int32(728), np.int32(952)], [np.int32(728), np.int32(976)], [np.int32(552), np.int32(976)]]",,,,
微信图片_20251122072052_8_1274.jpg,商品己售出,0.7283,"[[np.float64(905.2891314594269), np.float64(769.0854389836506)], [np.float64(991.0), np.float64(793.0)], [np.float64(983.7108685405731), np.float64(815.9145610163494)], [np.float64(898.0), np.float64(793.0)]]",,,,
微信图片_20251122072053_9_1274.jpg,11月4日周二,0.6052,"[[np.int32(76), np.int32(4)], [np.int32(172), np.int32(4)], [np.int32(172), np.int32(28)], [np.int32(76), np.int32(28)]]",,,,
微信图片_20251122072053_9_1274.jpg,799,0.9332,"[[np.int32(1455), np.int32(5)], [np.int32(1495), np.int32(5)], [np.int32(1495), np.int32(25)], [np.int32(1455), np.int32(25)]]",,,,
微信图片_20251122072053_9_1274.jpg,商品,0.9958,"[[np.int32(752), np.int32(144)], [np.int32(802), np.int32(144)], [np.int32(802), np.int32(172)], [np.int32(752), np.int32(172)]]",,,,
微信图片_20251122072053_9_1274.jpg,I,0.5371,"[[np.int32(773), np.int32(435)], [np.int32(829), np.int32(435)], [np.int32(829), np.int32(475)], [np.int32(773), np.int32(475)]]",,,,
微信图片_20251122072053_9_1274.jpg,结束时间:2025-11-0222;24.48,0.5987,"[[np.int32(552), np.int32(590)], [np.int32(812), np.int32(590)], [np.int32(812), np.int32(614)], [np.int32(552), np.int32(614)]]",,,,
微信图片_20251122072053_9_1274.jpg,2019-20 Panini One and One Ja,0.6701,"[[np.int32(554), np.int32(625)], [np.int32(914), np.int32(625)], [np.int32(914), np.int32(654)], [np.int32(554), np.int32(654)]]",,,,
微信图片_20251122072053_9_1274.jpg,Morant OAO 灰熊贾莫兰特  新秀RC /35,0.7425,"[[np.int32(555), np.int32(651)], [np.int32(1003), np.int32(651)], [np.int32(1003), np.int32(690)], [np.int32(555), np.int32(690)]]",,,,
微信图片_20251122072053_9_1274.jpg,编 RPA 双窗  球衣物料卡签 patch签字 原,0.6477,"[[np.int32(554), np.int32(686)], [np.int32(992), np.int32(686)], [np.int32(992), np.int32(718)], [np.int32(554), np.int32(718)]]",,,,
微信图片_20251122072053_9_1274.jpg,封砖-大壮哥-(小幻拍卖)  精,0.2961,"[[np.int32(554), np.int32(716)], [np.int32(872), np.int32(716)], [np.int32(872), np.int32(748)], [np.int32(554), np.int32(748)]]",,,,
微信图片_20251122072053_9_1274.jpg,"半6,090.52",0.8516,"[[np.int32(551), np.int32(757)], [np.int32(711), np.int32(757)], [np.int32(711), np.int32(795)], [np.int32(551), np.int32(795)]]",6090.52,,,
微信图片_20251122072053_9_1274.jpg,~ $854.50,0.6778,"[[np.int32(554), np.int32(792)], [np.int32(646), np.int32(792)], [np.int32(646), np.int32(816)], [np.int32(554), np.int32(816)]]",,854.5,,
微信图片_20251122072053_9_1274.jpg,《31次竞价,0.0729,"[[np.int32(554), np.int32(820)], [np.int32(652), np.int32(820)], [np.int32(652), np.int32(844)], [np.int32(554), np.int32(844)]]",,,,31.0
微信图片_20251122072053_9_1274.jpg,运费: +16.000,0.2817,"[[np.int32(565), np.int32(863)], [np.int32(689), np.int32(863)], [np.int32(689), np.int32(883)], [np.int32(565), np.int32(883)]]",,,16.0,
